"","name","nclients","nthreads","cc","phasing","cc_ph","rate","facet","zipf","commute_ratio","timeout_scaling","throughput","op_timeouts","txn_failed"
"193","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"50% update
zipf: 1.2",1.2,"0.5",1000,1791.79819040904,1,4516
"194","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,10498.0643482221,16010,1344
"195","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,11456.1934336598,145,0
"196","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,9964.6462662529,20545,976
"197","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,11321.9433107102,2067,0
"198","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,2798.21365990734,30043,1136
"199","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,10214.6563012813,4544,0
"200","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,1393.27345322215,32577,1328
"201","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,8772.75937648178,1523,0
"202","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,911.068342977583,33504,1508
"203","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,7301.49887252951,464,0
"204","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.2",0.2,"0.5",1000,9056.66885567783,1,0
"205","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.4",0.4,"0.5",1000,8382.52264919285,0,8
"206","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.8",0.8,"0.5",1000,3107.05631039238,0,5692
"207","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 1",1,"0.5",1000,838.552828566315,2,9728
"208","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 1.2",1.2,"0.5",1000,977.707841594545,0,6424
"209","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,11765.4395106855,58,0
"210","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,11908.7018544936,661,0
"211","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,11516.5464953535,2566,0
"212","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,11362.4615547954,948,0
"213","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,11310.8552140771,577,0
"214","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.2",0.2,"0.5",1000,4963.54647050963,36,3472
"215","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 0.2",0.2,"0.5",1000,7908.50581099227,24,4
"216","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.4",0.4,"0.5",1000,3250.19165391669,32,8396
"217","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 0.4",0.4,"0.5",1000,7033.45774019883,32,92
"218","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.8",0.8,"0.5",1000,909.808164829467,45,10960
"219","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 0.8",0.8,"0.5",1000,3521.02296362046,29,4276
"220","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 1",1,"0.5",1000,492.933249159334,62,9324
"221","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 1",1,"0.5",1000,2030.83782520438,61,7316
"222","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 1.2",1.2,"0.5",1000,284.61234113594,63,7040
"223","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 1.2",1.2,"0.5",1000,1413.17052466617,50,6352
"224","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,10276.0194745996,30523,2160
"225","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,11620.633644631,2281,0
"226","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,9256.30398574583,41349,3372
"227","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,11458.0592268379,10846,0
"228","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,2884.13061930462,49699,2624
"229","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,10044.1017977929,13889,0
"230","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,1447.9215916787,52429,2932
"231","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,8737.81082197439,11358,0
"232","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,956.282669851295,53219,3176
"233","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,7582.58178836846,7965,0
"234","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.2",0.2,"0.5",1000,8313.53824992064,40,4
"235","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.4",0.4,"0.5",1000,7736.32990453051,41,28
"236","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.8",0.8,"0.5",1000,4968.630391035,26,1436
"237","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 1",1,"0.5",1000,1330.08612597492,23,9008
"238","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 1.2",1.2,"0.5",1000,651.890931974724,43,7128
"239","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,12015.1819484383,1097,0
"240","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,11960.3444053977,5007,0
"241","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,11508.5732055485,14483,0
"242","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,11825.0686426941,8974,0
"243","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,12147.3544973545,4645,0
"244","v0.28.1-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1582.85748552468,0,0
"245","v0.28.1-sampa",4,4,"boosting","off","boosting",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.37469891961,0,0
"246","v0.28.1-sampa",4,4,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.43800077959,0,0
"247","v0.28.1-sampa",4,4,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.22561731274,0,0
"248","v0.28.1-sampa",4,4,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.94466987827,0,0
"249","v0.28.1-sampa",4,4,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.98822036185,0,0
"250","v0.28.1-sampa",4,16,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.6",0.6,"0.5",1000,4118.58488964629,0,1324
"251","v0.28.1-sampa",4,16,"boosting","off","boosting",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6339.87036895247,0,0
"252","v0.28.1-sampa",4,16,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6251.02777916479,0,0
"253","v0.28.1-sampa",4,16,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6338.15897659524,0,0
"254","v0.28.1-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6339.23875340377,0,0
"255","v0.28.1-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6337.5789817102,0,0
"256","v0.28.1-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.6",0.6,"0.5",1000,3094.1752929865,0,4836
"257","v0.28.1-sampa",4,32,"boosting","off","boosting",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6886.08167077114,0,140
"258","v0.28.1-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6952.8984786056,4272,0
"259","v0.28.1-sampa",4,32,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,10621.0413972185,1,0
"260","v0.28.1-sampa",4,32,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.6",0.6,"0.5",1000,7564.45200834984,0,40
"261","v0.28.1-sampa",4,32,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,11061.8518653975,0,0
"262","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.6",0.6,"0.5",1000,2295.94200439796,0,8832
"263","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"50% update
zipf: 0.6",0.6,"0.5",1000,5897.12835661112,0,712
"264","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6681.27103434623,23775,744
"265","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,10980.9435069651,5275,0
"266","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6913.19744657451,0,176
"267","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,11671.8163614423,3888,0
"268","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1865.09089734896,45,11516
"269","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 0.6",0.6,"0.5",1000,5447.10795435862,43,980
"270","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6712.99437571751,43446,2160
"271","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,10481.4811147309,20770,0
"272","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6656.83492550481,39,248
"273","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,11488.3031650259,14789,0
"346","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.2",0.2,"0.5",1000,6018.23025111212,0,1656
"347","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"50% update
zipf: 0.2",0.2,"0.5",1000,8670.73033223451,2,0
"348","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.4",0.4,"0.5",1000,4016.96794471354,0,5904
"349","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"50% update
zipf: 0.4",0.4,"0.5",1000,7794.86023295061,8,24
"350","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.8",0.8,"0.5",1000,1134.52061223958,1,9084
"351","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"50% update
zipf: 0.8",0.8,"0.5",1000,4025.43701303201,7,3264
"352","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 1",1,"0.5",1000,576.301662584041,0,7716
"353","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"50% update
zipf: 1",1,"0.5",1000,2455.6940334412,3,5140
"354","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 1.2",1.2,"0.5",1000,376.993496406252,1,6684
"355","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"50% update
zipf: 1.2",1.2,"0.5",1000,1736.36453624575,2,4304
"356","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,10674.9722728418,15532,1268
"357","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,11473.3074363661,135,0
"358","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,9922.85835592279,20597,984
"359","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,11381.4085665304,2205,0
"360","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,2808.69366748426,30146,1112
"361","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,10191.5017770941,4447,0
"362","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,1395.9121097147,32607,1436
"363","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,8762.82814349615,1646,0
"364","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,912.761846066932,33559,1528
"365","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,7343.23547260662,382,0
"366","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.2",0.2,"0.5",1000,9083.82286114216,13,0
"367","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.4",0.4,"0.5",1000,8266.97341072654,1,0
"368","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.8",0.8,"0.5",1000,2095.93748774974,0,8656
"369","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 1",1,"0.5",1000,3304.44789287396,0,3608
"370","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 1.2",1.2,"0.5",1000,444.578108450907,16,7728
"371","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,11722.3118119015,53,0
"372","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,11780.5311612852,845,0
"373","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,11518.0876409416,2412,0
"374","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,11388.5139952316,965,0
"375","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,11268.1548684891,476,0
"376","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.2",0.2,"0.5",1000,4971.17633817153,43,3332
"377","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 0.2",0.2,"0.5",1000,7889.85978191233,36,0
"378","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.4",0.4,"0.5",1000,3227.76443667321,46,8492
"379","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 0.4",0.4,"0.5",1000,6992.38092722927,22,100
"380","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.8",0.8,"0.5",1000,945.084907454259,36,11260
"381","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 0.8",0.8,"0.5",1000,3433.44712135968,39,4820
"382","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 1",1,"0.5",1000,462.315499786203,56,8992
"383","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 1",1,"0.5",1000,1940.61554348608,46,7652
"384","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 1.2",1.2,"0.5",1000,294.823228262897,80,7164
"385","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"50% update
zipf: 1.2",1.2,"0.5",1000,1357.30028897487,44,5900
"386","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,10203.2726673112,30761,2192
"387","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,11607.1877522396,2290,0
"388","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,9201.34445090815,41501,3436
"389","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,11228.1467375493,10952,0
"390","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,2920.35426535358,49636,2576
"391","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.8",0.8,"0.5",1000,10125.6443192587,13779,0
"392","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,1453.83141823717,52476,2972
"393","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 1",1,"0.5",1000,8717.14384840324,11386,0
"394","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,951.257031927108,53251,3132
"395","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 1.2",1.2,"0.5",1000,7473.36417713153,8364,0
"396","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.2",0.2,"0.5",1000,8498.23876697151,44,0
"397","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.4",0.4,"0.5",1000,7631.91186547889,24,24
"398","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.8",0.8,"0.5",1000,656.35118064747,62,12252
"399","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 1",1,"0.5",1000,147.663784896769,35,10652
"400","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 1.2",1.2,"0.5",1000,636.17844071542,16,7432
"401","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.2",0.2,"0.5",1000,12094.2668246163,1167,0
"402","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.4",0.4,"0.5",1000,11993.6725616859,4466,0
