"","name","nclients","nthreads","cc","rate","scale","mix","workload","alpha","phasing","async","cc_ph","timeout_scaling","throughput","op_timeouts","avg_latency_ms","txn_failed","total_time"
"1","v0.27.5-sampa","2",4,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"r/w locks",1000,1431.5598876986,0,3.14531504301325,0,60.0883
"2","v0.27.5-sampa","2",4,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting",1000,1631.92211712417,0,2.48882219636185,0,60.0286
"3","v0.27.5-sampa","2",4,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"r/w locks
 + phasing",1000,1263.52449500813,39,3.83388460124954,0,60.298
"4","v0.27.5-sampa","2",4,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + phasing",1000,1659.93332156524,11,2.35506330383836,0,60.0494
"5","v0.27.5-sampa","2",4,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting
 + combining",1000,1556.16808682631,0,2.65762581963723,0,60.3688
"6","v0.27.5-sampa","2",4,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + combining
 + phasing",1000,1544.01927569705,27,2.72516434960664,0,60.0964
"7","v0.27.5-sampa","2",8,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"r/w locks",1000,2310.20653933096,0,4.64097690225217,0,60.1193
"8","v0.27.5-sampa","2",8,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting",1000,2764.41612085515,0,3.53914343821031,0,60.4757
"9","v0.27.5-sampa","2",8,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"r/w locks
 + phasing",1000,1904.62725320568,14,6.12593226555814,0,60.1199
"10","v0.27.5-sampa","2",8,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + phasing",1000,2842.79967498302,17,3.43096278421404,0,60.0584
"11","v0.27.5-sampa","2",8,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting
 + combining",1000,2921.61484628552,0,3.24530837205065,0,60.1147
"12","v0.27.5-sampa","2",8,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + combining
 + phasing",1000,2919.7493174774,16,3.28528774928775,0,60.1079
"13","v0.27.5-sampa","2",16,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"r/w locks",1000,2047.31725559259,0,13.3416482932874,1,60.7009
"14","v0.27.5-sampa","2",16,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting",1000,3825.40171592241,0,6.37241649691897,0,61.3431
"15","v0.27.5-sampa","2",16,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"r/w locks
 + phasing",1000,1989.43551191403,39,13.9280862964443,0,60.391
"16","v0.27.5-sampa","2",16,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + phasing",1000,4322.2177126927,0,5.51415816817395,0,60.1196
"17","v0.27.5-sampa","2",16,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting
 + combining",1000,3829.8297032865,0,6.45313667239972,0,60.1186
"18","v0.27.5-sampa","2",16,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + combining
 + phasing",1000,4653.18514971334,3,5.00917634447025,0,60.1416
"19","v0.27.5-sampa","2",32,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"r/w locks",1000,3341.76659696203,0,16.9088123520166,1,30.0793
"20","v0.27.5-sampa","2",32,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting",1000,3521.50626181708,0,16.5199985033861,0,60.7172
"21","v0.27.5-sampa","2",32,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"r/w locks
 + phasing",1000,1870.38905559996,128,31.6598942095492,0,61.0504
"22","v0.27.5-sampa","2",32,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + phasing",1000,5971.39613924219,0,9.15358149307157,0,60.2576
"23","v0.27.5-sampa","2",32,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting
 + combining",1000,3617.28173296343,0,16.2518622059554,0,60.1236
"24","v0.27.5-sampa","2",32,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + combining
 + phasing",1000,6299.49331663663,0,8.57938601782258,0,60.5309
"25","v0.27.5-sampa","2",64,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"r/w locks",1000,1323.54031982431,0,63.7757411925013,72,68.7565
"26","v0.27.5-sampa","2",64,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting",1000,3314.52217853286,0,37.184496926046,0,60.6555
"27","v0.27.5-sampa","2",64,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"r/w locks
 + phasing",1000,2156.67971543583,270,56.6463727830317,0,61.3851
"28","v0.27.5-sampa","2",64,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + phasing",1000,7386.29340591782,2,15.8804255207006,0,61.6477
"29","v0.27.5-sampa","2",64,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting
 + combining",1000,3758.84132747833,0,32.5931664784516,1,60.7799
"30","v0.27.5-sampa","2",64,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + combining
 + phasing",1000,7361.28210674573,16,15.9055539108034,0,61.4863
"31","v0.27.5-sampa","2",4,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"r/w locks",1000,1316.23738038218,0,3.64402662145406,0,60.0454
"32","v0.27.5-sampa","2",4,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting",1000,1629.43198112925,0,2.50557415877164,0,60.1142
"33","v0.27.5-sampa","2",4,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"r/w locks
 + phasing",1000,1263.40739956037,22,3.83298396394508,0,60.4144
"34","v0.27.5-sampa","2",4,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + phasing",1000,1620.53229406082,32,2.45769784172662,0,60.042
"35","v0.27.5-sampa","2",4,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting
 + combining",1000,1628.18142022294,0,2.47892046616234,0,60.0793
"36","v0.27.5-sampa","2",4,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + combining
 + phasing",1000,1597.18508374276,12,2.55152918596403,0,60.0231
"37","v0.27.5-sampa","2",8,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"r/w locks",1000,2360.53408760035,0,4.53133061730832,0,60.1025
"38","v0.27.5-sampa","2",8,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","off",0,"boosting",1000,2615.43859881425,0,3.91360477920237,0,60.4174
"39","v0.27.5-sampa","2",8,"r/w locks",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"r/w locks
 + phasing",1000,1890.32956327006,8,6.19297813582874,0,60.1493
"40","v0.27.5-sampa","2",8,"boosting",50,"16","geom_repost","post-heavy: ~45% (re)post","-1","on",0,"boosting
 + phasing",1000,2673.89713286473,1,3.7283537854851,0,61.0749
