"","name","nclients","nthreads","cc","phasing","cc_ph","rate","alpha","commute_ratio","timeout_scaling","throughput","op_timeouts","avg_latency_ms","txn_failed"
"254","v0.28.1-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6339.23875340377,0,0.743887581919005,0
"255","v0.28.1-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,6337.5789817102,0,0.668963923266026,0
"256","v0.28.1-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,3094.1752929865,0,4.6460896121647,4836
"257","v0.28.1-sampa",4,32,"boosting","off","boosting",100,"0.6","0.5",1000,6886.08167077114,0,4.17504198922759,140
"258","v0.28.1-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6952.8984786056,4272,2.73840083212459,0
"259","v0.28.1-sampa",4,32,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10621.0413972185,1,2.07156720342591,0
"260","v0.28.1-sampa",4,32,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,7564.45200834984,0,3.76797672824425,40
"261","v0.28.1-sampa",4,32,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11061.8518653975,0,2.00773059536405,0
"262","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2295.94200439796,0,10.7083783322913,8832
"263","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"0.6","0.5",1000,5897.12835661112,0,10.3765772428786,712
"264","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6681.27103434623,23775,5.72065595430081,744
"265","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10980.9435069651,5275,5.36076216934412,0
"266","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6913.19744657451,0,8.99447979759258,176
"267","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11671.8163614423,3888,5.08237138702054,0
"268","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1865.09089734896,45,18.0273545706371,11516
"269","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"0.6","0.5",1000,5447.10795435862,43,16.670007002632,980
"270","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6712.99437571751,43446,6.89173005805821,2160
"271","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10481.4811147309,20770,8.63337196266391,0
"272","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6656.83492550481,39,13.9636534467412,248
"273","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11488.3031650259,14789,7.9595791486225,0
"406","v0.28.1-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1583.73090967243,0,0.556550824638169,0
"407","v0.28.1-sampa",4,4,"boosting","off","boosting",100,"0.6","0.5",1000,1583.64649129821,0,0.550936132615281,0
"408","v0.28.1-sampa",4,4,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,1583.65704310282,0,0.575616374957927,0
"409","v0.28.1-sampa",4,4,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,1583.01184027292,0,0.579318545332099,0
"410","v0.28.1-sampa",4,4,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,1582.59096633196,0,0.565373442236443,0
"411","v0.28.1-sampa",4,4,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,1583.4010740795,0,0.556983251977782,0
"412","v0.28.1-sampa",4,16,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,4099.36648211244,0,1.99940748676991,1364
"413","v0.28.1-sampa",4,16,"boosting","off","boosting",100,"0.6","0.5",1000,6337.22033401797,0,0.625979660874498,0
"414","v0.28.1-sampa",4,16,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6237.59146199375,0,0.674216548544104,0
"415","v0.28.1-sampa",4,16,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,6337.01865297739,0,0.632958939228377,0
"416","v0.28.1-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,5912.46083692651,0,0.725590616099535,1504
"417","v0.28.1-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,6337.733242339,0,0.752988822120435,0
"418","v0.28.1-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2925.54667371342,0,4.90621895041098,4532
"419","v0.28.1-sampa",4,32,"boosting","off","boosting",100,"0.6","0.5",1000,6938.03215707648,0,4.15781456572972,108
"420","v0.28.1-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6896.65686739161,4370,2.76620948829341,0
"421","v0.28.1-sampa",4,32,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10690.8728179551,0,2.033987708691,0
"422","v0.28.1-sampa",4,32,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,4998.15235179222,0,3.65022532037741,3924
"423","v0.28.1-sampa",4,32,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11023.2607625913,1,2.01463473487362,0
"424","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2196.78976901997,3,11.4444427943448,8756
"425","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"0.6","0.5",1000,6018.33988013886,0,10.1680376545111,704
"426","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6659.68246760618,23910,5.31646925894179,916
"427","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10948.7435987466,5279,5.38715903865237,0
"428","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6836.4387588892,3,9.0730086781342,244
"429","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11746.3718839666,3515,5.07458092354961,0
"430","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1782.97825652014,41,18.882755375371,11316
"431","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"0.6","0.5",1000,5335.38388737726,33,17.0685513673319,916
"432","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6709.85330474228,43532,6.85686496224462,2184
"433","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10572.2646831505,20283,8.57261128189748,0
"434","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6525.68254826815,30,14.2371373698575,320
"435","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11501.0976222593,14827,7.94987294323265,0
"568","v0.28.1-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1583.30224377765,0,0.585456113775983,0
"569","v0.28.1-sampa",4,4,"boosting","off","boosting",100,"0.6","0.5",1000,1583.34304988757,0,0.584613280592493,0
"570","v0.28.1-sampa",4,4,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,1583.19924577832,0,0.588502651291979,0
"571","v0.28.1-sampa",4,4,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,1583.37997388129,0,0.578728328564215,0
"572","v0.28.1-sampa",4,4,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,1583.55680663591,0,0.578399528778189,0
"573","v0.28.1-sampa",4,4,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,1583.33250049138,0,0.581049065813836,0
"574","v0.28.1-sampa",4,16,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,4853.2880837118,0,1.44599226698111,984
"575","v0.28.1-sampa",4,16,"boosting","off","boosting",100,"0.6","0.5",1000,6335.78614907928,0,0.608503351333179,0
"576","v0.28.1-sampa",4,16,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6267.48234291686,0,0.638287025235789,0
"577","v0.28.1-sampa",4,16,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,6336.91708551077,0,0.603293413173653,0
"578","v0.28.1-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6337.25709455299,0,0.72710324545741,0
"579","v0.28.1-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,6336.55193532174,0,0.569882758330882,0
"580","v0.28.1-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,3276.25597196277,0,4.38874984862552,4984
"581","v0.28.1-sampa",4,32,"boosting","off","boosting",100,"0.6","0.5",1000,7131.69023676404,0,4.01451489686784,84
"582","v0.28.1-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,7278.24994114077,3680,2.52346825338971,0
"583","v0.28.1-sampa",4,32,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10897.827878659,0,1.97070322029763,0
"584","v0.28.1-sampa",4,32,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,2445.98551394668,0,3.21477174539171,8808
"585","v0.28.1-sampa",4,32,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11287.6584855182,0,1.9175067718761,0
"586","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2395.09394572025,3,10.2453557419917,9048
"587","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"0.6","0.5",1000,6049.67271959459,0,10.100071986388,600
"588","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6979.21400101268,23191,5.32875399955354,764
"589","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,11362.5807904963,5034,5.19711830013528,0
"590","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,7193.68816994609,0,8.63407461863628,140
"591","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11973.3851139549,2967,4.98782310289478,0
"592","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1845.99108484876,29,18.5551789208834,11700
"593","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"0.6","0.5",1000,5455.87882255831,34,16.6907368116501,836
"594","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,7071.92611171236,42675,6.79204584672952,2000
"595","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,11034.1192129782,19843,8.21642700171986,0
"596","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6701.7769214301,23,13.8481688258075,296
"597","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,12033.392373583,13445,7.63600780633278,0
"730","v0.28.1-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1583.59373438427,0,0.572755385392124,0
"731","v0.28.1-sampa",4,4,"boosting","off","boosting",100,"0.6","0.5",1000,1583.06071730773,0,0.591184764309764,0
"732","v0.28.1-sampa",4,4,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,1583.02907550036,0,0.561837121212121,0
"733","v0.28.1-sampa",4,4,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,1583.2361661725,0,0.561926605504587,0
"734","v0.28.1-sampa",4,4,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,1583.700609295,0,0.573809423643248,0
"735","v0.28.1-sampa",4,4,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,1582.87857890073,0,0.541913621821856,0
"736","v0.28.1-sampa",4,16,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,4705.75706445955,0,1.54486562942008,1032
"737","v0.28.1-sampa",4,16,"boosting","off","boosting",100,"0.6","0.5",1000,6337.10423052729,0,0.638726077183252,0
"738","v0.28.1-sampa",4,16,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6268.52458907278,0,0.638307247977235,0
"739","v0.28.1-sampa",4,16,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,6336.31994461678,0,0.630258015716267,0
"740","v0.28.1-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6336.8168807828,0,0.64433601546251,0
"741","v0.28.1-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,6336.42408791677,0,0.590840809294703,0
"742","v0.28.1-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,3112.88363002483,0,4.59825216358391,4680
"743","v0.28.1-sampa",4,32,"boosting","off","boosting",100,"0.6","0.5",1000,6931.03906457614,0,4.14749918524625,108
"744","v0.28.1-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,7131.63800790975,3830,2.61536387638987,0
"745","v0.28.1-sampa",4,32,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10914.1182178915,0,1.94966017880198,0
"746","v0.28.1-sampa",4,32,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,7906.58727205061,0,3.5554878458797,16
"747","v0.28.1-sampa",4,32,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11293.3684745797,0,1.91395425490588,0
"748","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2354.19332932849,3,10.2218061796195,8908
"749","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"0.6","0.5",1000,6002.89896225076,3,10.2137419695503,624
"750","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,7056.20739093542,23017,5.37554597224526,716
"751","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,11361.6666004055,5187,5.19432197261297,0
"752","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,7054.56809915932,0,8.83263841935242,164
"753","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11906.8040963776,3437,5.00718134853478,0
"754","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1912.04465524473,33,17.6972662841714,11636
"755","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"0.6","0.5",1000,5576.3694443349,35,16.3023927392739,872
"756","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,7009.45466715581,42720,6.72347302310207,2064
"757","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,11053.0605241711,19767,8.20182456475533,0
"758","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,4948.45360824742,9,13.9325090428492,5504
"759","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11941.517030011,14245,7.68820386308826,0
"892","v0.28.1-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1583.01852851232,0,0.583907828282828,0
"893","v0.28.1-sampa",4,4,"boosting","off","boosting",100,"0.6","0.5",1000,1582.62404850342,0,0.578864612275827,0
"894","v0.28.1-sampa",4,4,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,1583.46437804846,0,0.582296751388655,0
"895","v0.28.1-sampa",4,4,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,1583.31667666067,0,0.551218229254334,0
"896","v0.28.1-sampa",4,4,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,1583.08708644682,0,0.567809343434343,0
"897","v0.28.1-sampa",4,4,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,1582.96052259017,0,0.550568181818182,0
"898","v0.28.1-sampa",4,16,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,5015.43949315871,0,1.35962130460167,852
"899","v0.28.1-sampa",4,16,"boosting","off","boosting",100,"0.6","0.5",1000,6338.13505165619,0,0.679521919045519,0
"900","v0.28.1-sampa",4,16,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6274.4784802375,0,0.637443774929984,0
"901","v0.28.1-sampa",4,16,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,6336.30545265743,0,0.641522218720454,0
"902","v0.28.1-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6338.31836049968,0,0.678517413771373,0
"903","v0.28.1-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,6336.27116838854,0,0.627130040131952,0
"904","v0.28.1-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,3269.78506544004,0,4.31998421180471,5016
"905","v0.28.1-sampa",4,32,"boosting","off","boosting",100,"0.6","0.5",1000,7258.2890596706,0,3.95474978484976,60
"906","v0.28.1-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,7036.58362611514,4015,2.67915472238986,0
"907","v0.28.1-sampa",4,32,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10926.7747865137,0,1.93432100267705,0
"908","v0.28.1-sampa",4,32,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,7832.38905411468,0,3.61338797814208,20
"909","v0.28.1-sampa",4,32,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11242.4470043939,1,1.93830116834587,0
"910","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2353.51673977919,0,10.1478797117517,9168
"911","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"0.6","0.5",1000,6171.45279220091,0,9.95981069711539,548
"912","v0.28.1-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6948.42826201487,23222,5.42745483478424,748
"913","v0.28.1-sampa",4,64,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,11362.1141405342,5131,5.18833160355906,0
"914","v0.28.1-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,7076.98520139149,0,8.79057302677118,160
"915","v0.28.1-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,12084.0276558457,2945,4.93236648755346,0
"916","v0.28.1-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1928.96351307717,48,17.6226983595581,11864
"917","v0.28.1-sampa",4,96,"boosting","off","boosting",100,"0.6","0.5",1000,5535.63170134117,34,16.4187779963501,864
"918","v0.28.1-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6978.53046387813,42758,7.14131895234765,1900
"919","v0.28.1-sampa",4,96,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,11125.1260354679,19480,8.14688773575964,0
"920","v0.28.1-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6695.4046682212,17,13.8877066461745,260
"921","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,12018.4848984981,14056,7.65083768195551,0
"1054","v0.28.1-sampa",4,4,"better boosting","off","better boosting",100,"0.6","0.5",1000,1583.59510064856,0,0.592665124106016,0
"1055","v0.28.1-sampa",4,96,"better boosting
 + combining","on","better boosting
 + combining
 + phasing",100,"0.6","0.5",1000,12264.7271957196,1193,7.44337067253734,0
"1056","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11405.5943362223,14329,8.01632262553636,0
"1057","v0.28.1-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11440.6928066135,14388,7.97886534818169,0
"1058","v0.28.1-sampa",4,96,"better boosting
 + combining","on","better boosting
 + combining
 + phasing",100,"0.6","0.5",1000,12087.9062721205,1309,7.44937664867941,0
"1059","v0.28.1-sampa",4,96,"better boosting
 + combining","on","better boosting
 + combining
 + phasing",100,"0.6","0.5",1000,12169.8313074336,525,7.42813543831398,0
"1060","v0.28.1-sampa",4,4,"better boosting","on","better boosting
 + phasing",100,"0.6","0.5",1000,1583.34443704197,1,0.527915930320626,0
"1061","v0.28.1-sampa",4,4,"better boosting
 + combining","off","better boosting
 + combining",100,"0.6","0.5",1000,1584.03571309591,0,0.546435181290485,0
