"","facet","rate","nthreads","cc_ph","cc","zipf","commute_ratio","phasing","timeout_scaling","throughput","op_timeouts"
"292","80% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"0.8","on",1000,5189.83201251405,25175
"293","80% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"0.8","on",1000,9737.1089271632,5017
"294","100% update
zipf: 0.6",100,64,"r/w locks
(baseline)","r/w locks",0.6,"1","off",1000,1413.53667553737,1
"295","100% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"1","off",1000,9502.73383586368,1
"296","100% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"1","on",1000,4743.95800477336,25368
"297","100% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"1","on",1000,9230.1467540005,1
"298","0% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0","off",1000,17406.9380958383,1
"299","0% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0","on",1000,17504.9349908267,0
"300","20% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0.2","off",1000,8641.54256464625,0
"301","20% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.2","on",1000,13897.0112777592,1363
"302","40% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0.4","off",1000,7222.89922644908,0
"303","40% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.4","on",1000,12351.5965828979,3110
"304","60% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0.6","off",1000,6757.67624133328,2
"305","60% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.6","on",1000,11144.9875285252,3804
"306","80% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0.8","off",1000,7286.77397892814,0
"307","80% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.8","on",1000,10588.8751807485,2499
"308","100% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"1","off",1000,10252.3367276854,0
"309","100% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"1","on",1000,10142.1480144404,2
"310","0% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0","off",1000,15846.3717470151,43
"311","0% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0","off",1000,16132.2712275,32
"312","0% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0","on",1000,15879.524053817,14
"313","0% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0","on",1000,15970.0262468929,24
"314","20% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0.2","off",1000,3583.28259207918,32
"315","20% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.2","off",1000,6721.57656710139,30
"316","20% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0.2","on",1000,10142.000386922,39978
"317","20% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0.2","on",1000,12890.1411428175,11674
"318","40% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0.4","off",1000,2187.3788164732,26
"319","40% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.4","off",1000,5571.47019633392,38
"320","40% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0.4","on",1000,7551.50564859203,42690
"321","40% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0.4","on",1000,11091.9993011626,18924
"322","60% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0.6","off",1000,1672.70472906213,39
"323","60% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.6","off",1000,5399.46534086986,28
"324","60% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0.6","on",1000,6049.10441914083,44235
"325","60% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0.6","on",1000,10199.4059124596,20745
"326","80% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0.8","off",1000,1344.46844871505,45
"327","80% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.8","off",1000,5651.02365302342,48
"328","80% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0.8","on",1000,5095.31460890803,45022
"329","80% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0.8","on",1000,9501.88636896255,15229
"330","100% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"1","off",1000,1098.30464771482,47
"331","100% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"1","off",1000,4174.78746981575,44590
"332","100% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"1","on",1000,4298.24166928992,46253
"333","100% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"1","on",1000,4581.65394242183,63
"334","0% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0","off",1000,18451.9660699452,31
"335","0% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0","on",1000,18195.0945020026,22
"336","20% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0.2","off",1000,8020.41219464015,27
"337","20% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.2","on",1000,13895.8223162348,8630
"338","40% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0.4","off",1000,3422.57063840986,32
"339","40% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.4","on",1000,12160.0179899534,14328
"340","60% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0.6","off",1000,6425.4997541246,11
"341","60% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.6","on",1000,10936.095213577,16021
"342","80% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0.8","off",1000,6888.38262793331,34
"343","80% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.8","on",1000,10609.0118681609,11798
"344","100% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"1","off",1000,4697.62611864777,37044
"345","100% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"1","on",1000,4914.21199741991,37
"406","50% update
zipf: 0.6",100,4,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,1583.73090967243,0
"407","50% update
zipf: 0.6",100,4,"boosting","boosting",0.6,"0.5","off",1000,1583.64649129821,0
"408","50% update
zipf: 0.6",100,4,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,1583.65704310282,0
"409","50% update
zipf: 0.6",100,4,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,1583.01184027292,0
"410","50% update
zipf: 0.6",100,4,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,1582.59096633196,0
"411","50% update
zipf: 0.6",100,4,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,1583.4010740795,0
"412","50% update
zipf: 0.6",100,16,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,4099.36648211244,0
"413","50% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"0.5","off",1000,6337.22033401797,0
"414","50% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,6237.59146199375,0
"415","50% update
zipf: 0.6",100,16,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,6337.01865297739,0
"416","50% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,5912.46083692651,0
"417","50% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,6337.733242339,0
"418","50% update
zipf: 0.6",100,32,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,2925.54667371342,0
"419","50% update
zipf: 0.6",100,32,"boosting","boosting",0.6,"0.5","off",1000,6938.03215707648,0
"420","50% update
zipf: 0.6",100,32,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,6896.65686739161,4370
"421","50% update
zipf: 0.6",100,32,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,10690.8728179551,0
"422","50% update
zipf: 0.6",100,32,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,4998.15235179222,0
"423","50% update
zipf: 0.6",100,32,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,11023.2607625913,1
"424","50% update
zipf: 0.6",100,64,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,2196.78976901997,3
"425","50% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.5","off",1000,6018.33988013886,0
"426","50% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,6659.68246760618,23910
"427","50% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,10948.7435987466,5279
"428","50% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,6836.4387588892,3
"429","50% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,11746.3718839666,3515
"430","50% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,1782.97825652014,41
"431","50% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.5","off",1000,5335.38388737726,33
"432","50% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,6709.85330474228,43532
"433","50% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,10572.2646831505,20283
"434","50% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,6525.68254826815,30
"435","50% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,11501.0976222593,14827
"436","0% update
zipf: 0.6",100,64,"r/w locks
(baseline)","r/w locks",0.6,"0","off",1000,15507.8184604566,10
"437","0% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0","off",1000,15449.1872008597,5
"438","0% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"0","on",1000,15331.8759474943,1
"439","0% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"0","on",1000,15391.1889596603,0
"440","20% update
zipf: 0.6",100,64,"r/w locks
(baseline)","r/w locks",0.6,"0.2","off",1000,4092.37340519821,1
"441","20% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.2","off",1000,7286.64461682608,0
"442","20% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"0.2","on",1000,10170.5117306208,20253
"443","20% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"0.2","on",1000,12807.4156647291,3266
"444","40% update
zipf: 0.6",100,64,"r/w locks
(baseline)","r/w locks",0.6,"0.4","off",1000,2633.82647984733,0
"445","40% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.4","off",1000,6120.29374130001,0
"446","40% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"0.4","on",1000,7591.39143294502,22763
"447","40% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"0.4","on",1000,11521.8097555477,4944
"448","60% update
zipf: 0.6",100,64,"r/w locks
(baseline)","r/w locks",0.6,"0.6","off",1000,1914.52880007823,1
"449","60% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.6","off",1000,5824.73629686998,2
"450","60% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"0.6","on",1000,6109.41765758045,24365
"451","60% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"0.6","on",1000,10445.2920301151,5853
"452","80% update
zipf: 0.6",100,64,"r/w locks
(baseline)","r/w locks",0.6,"0.8","off",1000,1627.95853165547,5
"453","80% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.8","off",1000,6232.28674631842,2
"454","80% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"0.8","on",1000,5302.01211807018,25096
"455","80% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"0.8","on",1000,9703.87379596219,5235
"456","100% update
zipf: 0.6",100,64,"r/w locks
(baseline)","r/w locks",0.6,"1","off",1000,1394.54154088634,2
"457","100% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"1","off",1000,9509.1660168887,0
"458","100% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"1","on",1000,4667.26717774912,25551
"459","100% update
zipf: 0.6",100,64,"boosting
 + phasing","boosting",0.6,"1","on",1000,9257.34001260658,3
"460","0% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0","off",1000,17353.2026698868,1
"461","0% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0","on",1000,17524.9216274942,2
"462","20% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0.2","off",1000,8678.82145188169,0
"463","20% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.2","on",1000,13884.5980306288,1467
"464","40% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0.4","off",1000,7242.59602227737,0
"465","40% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.4","on",1000,12310.4061115679,3269
"466","60% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0.6","off",1000,6866.22727122181,0
"467","60% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.6","on",1000,11131.4165176928,4176
"468","80% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"0.8","off",1000,7191.00380572611,0
"469","80% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.8","on",1000,10605.3509708834,2796
"470","100% update
zipf: 0.6",100,64,"boosting
 + combining","boosting
 + combining",0.6,"1","off",1000,10299.4234456586,4
"471","100% update
zipf: 0.6",100,64,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"1","on",1000,10302.9156753636,1
"472","0% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0","off",1000,15726.1721154674,24
"473","0% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0","off",1000,15811.5918043097,31
"474","0% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0","on",1000,15606.307811957,26
"475","0% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0","on",1000,15480.9760488157,48
"476","20% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0.2","off",1000,3639.43651027485,29
"477","20% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.2","off",1000,6733.46904278794,32
"478","20% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0.2","on",1000,10021.0344572111,40277
"479","20% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0.2","on",1000,12817.5603208338,11743
"480","40% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0.4","off",1000,2172.28851130284,35
"481","40% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.4","off",1000,5581.6007408213,43
"482","40% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0.4","on",1000,7577.98389222057,42591
"483","40% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0.4","on",1000,11091.513165926,19311
"484","60% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0.6","off",1000,1589.02731563878,56
"485","60% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.6","off",1000,5311.24266589402,41
"486","60% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0.6","on",1000,6128.99811740105,44021
"487","60% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0.6","on",1000,10265.1377780122,20030
"488","80% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"0.8","off",1000,1294.85778040043,47
"489","80% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"0.8","off",1000,5632.03044269851,31
"490","80% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"0.8","on",1000,5188.69801259056,44967
"491","80% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"0.8","on",1000,9524.95490078172,15120
"492","100% update
zipf: 0.6",100,96,"r/w locks
(baseline)","r/w locks",0.6,"1","off",1000,1101.84541734229,41
"493","100% update
zipf: 0.6",100,96,"boosting","boosting",0.6,"1","off",1000,4365.31831686772,42960
"494","100% update
zipf: 0.6",100,96,"r/w locks
 + phasing","r/w locks",0.6,"1","on",1000,4371.62116637738,46100
"495","100% update
zipf: 0.6",100,96,"boosting
 + phasing","boosting",0.6,"1","on",1000,4510.68445314515,36
"496","0% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0","off",1000,18110.436921325,39
"497","0% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0","on",1000,18344.5080583777,28
"498","20% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0.2","off",1000,8123.4407595746,27
"499","20% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.2","on",1000,14033.7840071403,8692
"500","40% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0.4","off",1000,6743.00900479091,12
"501","40% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.4","on",1000,12067.1756935795,14000
"502","60% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0.6","off",1000,6450.77395293574,54
"503","60% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.6","on",1000,10949.1585848116,15173
"504","80% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"0.8","off",1000,6910.69893942437,40
"505","80% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.8","on",1000,10490.0758564842,11547
"506","100% update
zipf: 0.6",100,96,"boosting
 + combining","boosting
 + combining",0.6,"1","off",1000,4598.31981670728,40967
"507","100% update
zipf: 0.6",100,96,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"1","on",1000,4958.7837569631,37
"568","50% update
zipf: 0.6",100,4,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,1583.30224377765,0
"569","50% update
zipf: 0.6",100,4,"boosting","boosting",0.6,"0.5","off",1000,1583.34304988757,0
"570","50% update
zipf: 0.6",100,4,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,1583.19924577832,0
"571","50% update
zipf: 0.6",100,4,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,1583.37997388129,0
"572","50% update
zipf: 0.6",100,4,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,1583.55680663591,0
"573","50% update
zipf: 0.6",100,4,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,1583.33250049138,0
"574","50% update
zipf: 0.6",100,16,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,4853.2880837118,0
"575","50% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"0.5","off",1000,6335.78614907928,0
"576","50% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,6267.48234291686,0
"577","50% update
zipf: 0.6",100,16,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,6336.91708551077,0
"578","50% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,6337.25709455299,0
"579","50% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,6336.55193532174,0
"580","50% update
zipf: 0.6",100,32,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,3276.25597196277,0
"581","50% update
zipf: 0.6",100,32,"boosting","boosting",0.6,"0.5","off",1000,7131.69023676404,0
"582","50% update
zipf: 0.6",100,32,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,7278.24994114077,3680
"583","50% update
zipf: 0.6",100,32,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,10897.827878659,0
"584","50% update
zipf: 0.6",100,32,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,2445.98551394668,0
"585","50% update
zipf: 0.6",100,32,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,11287.6584855182,0
