"","name","nclients","nthreads","cc","rate","scale","mix","alpha","phasing","cc_ph","timeout_scaling","throughput","op_timeouts","avg_latency_ms"
"396","v0.27.3-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,2406.11349346768,0,1.57461952833977
"397","v0.27.4-sampa","2",4,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,1795.86793511656,2,1.55403074754743
"398","v0.27.3-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,2368.4618293965,0,1.53693229782205
"399","v0.27.4-sampa","2",4,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,1840.85081284084,5,1.39384164222874
"400","v0.27.3-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,2521.68509920922,0,3.75636824859951
"401","v0.27.4-sampa","2",4,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,1426.98728259024,0,2.67625781760478
"402","v0.27.3-sampa","2",8,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,5217.51127408365,0,1.53930407855081
"403","v0.27.4-sampa","2",4,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,1464.21637031536,0,2.95928579551916
"404","v0.27.3-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,4976.64361014487,0,1.70729421216483
"405","v0.27.4-sampa","2",4,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,736.845082514071,11,8.65227601156069
"406","v0.27.3-sampa","2",8,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,5181.61844077088,0,1.59299085819937
"407","v0.27.4-sampa","2",4,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,1287.44830201105,2,4.18447906171691
"408","v0.27.3-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,5159.93147333978,0,1.58998752940874
"410","v0.27.3-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,5210.12826919873,0,1.6157102479825
"412","v0.27.3-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,1025.24547854396,0,10.5121234386481
"413","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,1862.45286885587,0,1.39254799520495
"414","v0.27.3-sampa","2",16,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,9312.00474215372,1,2.36343544591705
"415","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,1848.83527176992,2,1.41859295576625
"416","v0.27.3-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,8140.24415635468,0,2.84309865725943
"417","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,1572.14389597625,0,2.70861934230257
"418","v0.27.3-sampa","2",16,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,9071.63378917265,0,2.46354031429313
"419","v0.27.3-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,9362.50102032487,0,2.33811006529901
"420","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,1388.38350355819,0,3.70332695069411
"421","v0.27.3-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,10690.8814832574,0,1.50443530804211
"423","v0.27.3-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,1016.16151518034,0,16.3294827039035
"425","v0.27.3-sampa","2",32,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,11547.6121105164,19,4.85601003474675
"427","v0.27.3-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,9175.7834198718,0,6.04495791312922
"429","v0.27.3-sampa","2",32,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,11945.7317997199,0,4.67064432486687
"430","v0.27.4-sampa","2",8,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,3856.07273320885,0,1.25803915470081
"431","v0.27.3-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,11510.6945861935,0,4.79680864604668
"432","v0.27.4-sampa","2",8,"boosting",50,"16","read_heavy","-1","off","boosting",1000,3928.7784596318,0,1.26372247237698
"433","v0.27.3-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,12344.6384106313,0,4.48644654664696
"434","v0.27.4-sampa","2",8,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,3642.90301007796,32,1.53640515115536
"435","v0.27.3-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,1022.18722327253,59,28.791067146283
"436","v0.27.4-sampa","2",8,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,3799.5541501028,17,1.3992983994738
"437","v0.27.3-sampa","2",64,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,10745.9692844004,0,11.6838309266224
"438","v0.27.4-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,2833.02125639538,0,2.52465731108474
"439","v0.27.3-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,9054.97005432007,0,13.2022457507627
"440","v0.27.4-sampa","2",8,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,2838.91007197826,0,2.88469631084304
"441","v0.27.3-sampa","2",64,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,13261.9273301738,0,9.37234328017595
"442","v0.27.4-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,799.460978020286,13,17.8333057235153
"443","v0.27.3-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,12042.7971874423,0,10.3064508554269
"444","v0.27.4-sampa","2",8,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,1999.31155702852,5,6.20919903518257
"445","v0.27.3-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,13151.1249208241,0,9.31511455631235
"447","v0.27.3-sampa","2",4,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,2207.6961272757,0,1.83496611167298
"449","v0.27.3-sampa","2",4,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,2356.97201068671,0,1.57784122228033
"450","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,3875.14660411558,0,1.28294813591966
"451","v0.27.3-sampa","2",4,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,2371.6220943598,0,1.55258204090807
"452","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,3791.40476757688,48,1.40806910854893
"453","v0.27.3-sampa","2",4,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,2382.13366431481,0,1.52084149275443
"454","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,2965.54951102585,0,2.83489617842263
"455","v0.27.3-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,2381.83699344728,0,1.59072467823167
"456","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,2482.35657145132,6,4.72141950143688
"457","v0.27.3-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,2411.54813667183,0,1.48923030160682
"459","v0.27.3-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,2301.79826449241,0,3.86944543572907
"461","v0.27.3-sampa","2",8,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,5196.51265327854,0,1.58904478013358
"463","v0.27.3-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,4967.30088186007,0,1.70017907564772
"465","v0.27.3-sampa","2",8,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,5209.98435675267,0,1.62098780433212
"466","v0.27.4-sampa","2",16,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,7952.44592606661,0,1.13970754598399
"467","v0.27.3-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,5200.7377263195,0,1.57522288023944
"468","v0.27.4-sampa","2",16,"boosting",50,"16","read_heavy","-1","off","boosting",1000,8054.39212040637,0,1.24950150170027
"469","v0.27.3-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,5200.10595461611,0,1.61302620618953
"470","v0.27.4-sampa","2",16,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,5860.00426024789,163,2.86698094453753
"471","v0.27.3-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,963.17003557884,2,11.2969352547189
"472","v0.27.4-sampa","2",16,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,7299.60856167236,144,1.7488818707899
"473","v0.27.3-sampa","2",16,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,9365.75764035064,0,2.36262157500756
"474","v0.27.4-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,5187.33949961694,0,3.13358814916234
"475","v0.27.3-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,8552.50470063336,0,2.62609437313061
"476","v0.27.4-sampa","2",16,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,3342.7517632595,0,5.09251814129863
"477","v0.27.3-sampa","2",16,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,9292.26538008834,0,2.36659189611432
"478","v0.27.3-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,9419.29685874766,0,2.29691050245414
"479","v0.27.4-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,513.218662205752,823,7.81823144104804
"480","v0.27.3-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,9511.19481828906,0,2.30521745519174
"481","v0.27.4-sampa","2",16,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,3544.60819905033,0,7.44892169579783
"482","v0.27.3-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,1163.56351522646,0,15.173938646178
"484","v0.27.3-sampa","2",32,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,11899.7267514037,0,4.66386789655925
"486","v0.27.3-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,9409.15048333766,0,5.86464490765619
"487","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,8236.41509402532,0,1.19764746807538
"488","v0.27.3-sampa","2",32,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,11923.7546318096,0,4.67546530547315
"489","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,7896.5787064014,33,1.40924462585493
"490","v0.27.3-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,18034.5812499584,0,2.37898432481523
"491","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,3706.12033975359,0,4.7767021135772
"492","v0.27.3-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,12010.5873833682,0,4.64034350944013
"493","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,3593.71085668591,3,7.35954610086237
"494","v0.27.3-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,993.548121774259,101,29.4405387334034
"496","v0.27.3-sampa","2",64,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,11390.1818912505,0,10.962900540323
"498","v0.27.3-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,8719.37924949052,0,13.7346208761164
"500","v0.27.3-sampa","2",64,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,12206.4118462567,0,10.2478530748761
"502","v0.27.3-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,11438.1877108758,0,10.9680627115293
"503","v0.27.4-sampa","2",32,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,15518.8051568248,0,1.66365250015561
"504","v0.27.3-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,12879.736260667,0,9.67681226765799
"505","v0.27.4-sampa","2",32,"boosting",50,"16","read_heavy","-1","off","boosting",1000,12972.9477689611,0,2.7685640641206
"506","v0.27.4-sampa","2",32,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,8323.09485555871,24,5.4831666600263
"507","v0.27.4-sampa","2",32,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,14085.8777641083,208,2.50804253739987
"508","v0.27.4-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,6077.87595515059,0,6.39068752666454
"509","v0.27.4-sampa","2",32,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,3091.75339547529,0,11.3050751761778
"510","v0.27.4-sampa","2",32,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,867.627847319541,117,69.3911519929917
"511","v0.27.4-sampa","2",32,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,4607.6255400103,6,12.5200349805743
"514","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,14528.810016012,0,2.27522431285572
"515","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,15209.8533614991,71,2.29361934989603
"516","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,3194.27075544717,0,12.2468360942484
"517","v0.27.4-sampa","2",32,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,4751.28876677187,0,11.9570803099755
"522","v0.27.4-sampa","2",64,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,18974.150769154,0,5.67422420763331
"523","v0.27.4-sampa","2",64,"boosting",50,"16","read_heavy","-1","off","boosting",1000,13892.2514233251,0,6.79237783269161
"524","v0.27.4-sampa","2",64,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,8180.80878721691,63,13.6547499432794
"525","v0.27.4-sampa","2",64,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,15741.1161102951,14,6.96932722551772
"526","v0.27.4-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,6402.06214323101,0,12.3629998308482
"527","v0.27.4-sampa","2",64,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,3111.34810472355,0,25.743786011692
"528","v0.27.4-sampa","2",64,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,798.106188704768,158,152.265691509945
"529","v0.27.4-sampa","2",64,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,5780.54709187072,0,20.4739156639954
"532","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,14716.9321804729,0,6.82464883434474
"533","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,17345.7254515556,2,6.30069318103309
"534","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,3608.57749091765,1,20.9538363288021
"535","v0.27.4-sampa","2",64,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,5843.94680910109,31,20.4985027598382
"540","v0.27.4-sampa","2",4,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,1850.15471218872,0,1.41349094965634
"541","v0.27.4-sampa","2",4,"boosting",50,"16","read_heavy","-1","off","boosting",1000,1851.55998793794,0,1.45143247912468
"542","v0.27.4-sampa","2",4,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,1808.97390191812,5,1.46996353188198
"543","v0.27.4-sampa","2",4,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,1840.67664437179,11,1.40664457842232
"544","v0.27.4-sampa","2",4,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,1326.71456129848,0,2.7880368021259
"545","v0.27.4-sampa","2",4,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,1532.36767762912,0,2.83701465281099
"546","v0.27.4-sampa","2",4,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,832.071761531321,12,7.42050543825976
"547","v0.27.4-sampa","2",4,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,1393.6584030721,5,3.673895448486
"550","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,1852.46523135862,0,1.38213234238116
"551","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,1838.65353065117,15,1.45070205634568
"552","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,1520.22744950424,0,2.8042377895129
"553","v0.27.4-sampa","2",4,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,1385.6679513737,9,3.70746873138773
"558","v0.27.4-sampa","2",8,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,3854.11721593417,0,1.22740945630564
"559","v0.27.4-sampa","2",8,"boosting",50,"16","read_heavy","-1","off","boosting",1000,3893.97982059046,0,1.2514627887083
"560","v0.27.4-sampa","2",8,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,3576.00382488809,27,1.6284077145253
"561","v0.27.4-sampa","2",8,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,3864.27107150648,13,1.31824724408091
"562","v0.27.4-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,2739.37509328006,0,2.57794594853496
"563","v0.27.4-sampa","2",8,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,2772.45772931793,0,2.98072907917157
"564","v0.27.4-sampa","2",8,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,825.516196752677,16,17.2481088041204
"565","v0.27.4-sampa","2",8,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,2175.67711028836,1,5.56100089965081
"568","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,3935.35406027536,0,1.2666017691624
"569","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,3867.35858329238,3,1.27295988696671
"570","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","off","boosting
 + combining",1000,2898.83349315535,0,2.8560306376343
"571","v0.27.4-sampa","2",8,"boosting
 + combining",50,"16","geom_heavy","-1","on","boosting
 + combining
 + phasing",1000,2218.2861278681,3,5.4171817705605
"576","v0.27.4-sampa","2",16,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,8026.66626687256,0,1.12445003403563
"577","v0.27.4-sampa","2",16,"boosting",50,"16","read_heavy","-1","off","boosting",1000,7806.44151032661,0,1.13880874746061
"578","v0.27.4-sampa","2",16,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,5493.06804814192,152,3.17398799794796
"579","v0.27.4-sampa","2",16,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,8032.72170083634,14,1.33488946236915
"580","v0.27.4-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","off","r/w locks",1000,5229.65201821455,0,3.08563017783458
"581","v0.27.4-sampa","2",16,"boosting",50,"16","geom_heavy","-1","off","boosting",1000,3437.6890602666,0,5.16368840411542
"582","v0.27.4-sampa","2",16,"r/w locks",50,"16","geom_heavy","-1","on","r/w locks
 + phasing",1000,896.22289728687,28,33.510891674988
"583","v0.27.4-sampa","2",16,"boosting",50,"16","geom_heavy","-1","on","boosting
 + phasing",1000,3195.9132402073,2,8.38050602434432
"586","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,8076.44381659348,0,1.20764578726775
"587","v0.27.4-sampa","2",16,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,7966.27390625052,71,1.4171510533843
